Model,Train Accuracy,Test Accuracy,Precision,Recall,F1
Logistic Regression,0.989010989010989,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112
SVM,0.9824175824175824,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112
Random Forest,1.0,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104
Decision Tree,0.9934065934065934,0.9210526315789473,0.9565217391304348,0.9166666666666666,0.9361702127659575
